# Nacre IME - Mobile / foldable / developer tech vocabulary
# Format: reading\tsurface\tleft_id\tright_id\tcost
# POS 1852=名詞固有 (proper noun), 1841=名詞一般, 2641=記号

# Foldable / device UI terms
かばーがめん	カバー画面	1841	1841	3100
かばーでぃすぷれい	カバーディスプレイ	1841	1841	3100
さぶでぃすぷれい	サブディスプレイ	1841	1841	3200
めいんがめん	メイン画面	1841	1841	3200
めいんでぃすぷれい	メインディスプレイ	1841	1841	3300
ふるすくりーん	フルスクリーン	1841	1841	3400
ぜっとふぉるど	Z Fold	1852	1852	3400
ぜっとふぉーるど	Z Fold	1852	1852	3400
ふぉるだぶる	Foldable	1852	1852	3500
ふぉるだぶるでぃばいす	Foldable device	1852	1852	3600
おりたたみたんまつ	折りたたみ端末	1841	1841	3400
きーぼーど	キーボード	1841	1841	3000
きーれいあうと	キーレイアウト	1841	1841	3200
きーまっぷ	Keymap	1852	1852	3600
ぶんかつがめん	分割画面	1841	1841	3400

# IME / input method terms
いめ	IME	1852	1852	3000
にほんごいめ	日本語IME	1852	1852	3200
こくごいめ	国語IME	1852	1852	3600
じーぼーど	Gboard	1852	1852	3200
ふりっく	フリック	1841	1841	3200
おんせいいんぷっと	音声入力	1841	1841	3000
きごうぱねる	記号パネル	1841	1841	3200
えもじぱねる	絵文字パネル	1841	1841	3200
にゅうりょくもーど	入力モード	1841	1841	3200
へんかんこうほ	変換候補	1841	1841	3200
こうほらん	候補欄	1841	1841	3400
さぶでぃすぷれいもーど	サブディスプレイモード	1841	1841	3500

# Code / project terms that show up in this repo
なくれ	Nacre	1852	1852	2800
けんえるえむ	KenLM	1852	1852	3200
うぃすぱー	Whisper	1852	1852	3200
しぇるぱおんえっくす	SherpaONNX	1852	1852	3500
えるえるえむ	LLM	1852	1852	3000
えーあい	AI	1852	1852	3000
えーぴーあい	API	1852	1852	3200
ことりん	Kotlin	1852	1852	3200
あんどろいど	Android	1852	1852	3000
ぎっとはぶ	GitHub	1852	1852	3200
べんちまーく	ベンチマーク	1841	1841	3600

# Coding command vocabulary
ぎっと	git	1852	1852	2600
ぎっと	Git	1852	1852	3000
じっと	git	1852	1852	3400
じっと	Git	1852	1852	3600
りべーす	rebase	1852	1852	3000
ぎっとりべーす	git rebase	1852	1852	2400
ぎっとりばーす	git rebase	1852	1852	3200
ぎっとまーじ	git merge	1852	1852	3000
ぎっとぷる	git pull	1852	1852	3000
ぎっとぷっしゅ	git push	1852	1852	3000
えぬぴーえむ	npm	1852	1852	2600
えぬぴーえむいんすとーる	npm install	1852	1852	2400
えぬぴーえむいんすとーるりあくと	npm install React	1852	1852	2200
ぴーえぬぴーえむ	pnpm	1852	1852	3200
やーん	yarn	1852	1852	3400
じゃばすくりぷと	JavaScript	1852	1852	3000
たいぷすくりぷと	TypeScript	1852	1852	2800
りあくと	React	1852	1852	2800
こーでっくす	Codex	1852	1852	3000
しぇりー	Shelly	1852	1852	3200
えむしーぴー	MCP	1852	1852	3200
えーでぃーびー	ADB	1852	1852	3200
ろぐきゃっと	logcat	1852	1852	3200
ぐれーどる	Gradle	1852	1852	3200
こんぽーず	Compose	1852	1852	3400
