# Hiragana reading → English word mapping
# Format: reading\tenglish\tcost
# Used for Japanese→English conversion (e.g. ぐーぐる → Google)
#
# === Tech Companies & Services ===
ぐーぐる	Google	4000
あっぷる	Apple	4000
あまぞん	Amazon	4000
まいくろそふと	Microsoft	4000
ゆーちゅーぶ	YouTube	4000
つういったー	Twitter	4200
えっくす	X	5000
いんすたぐらむ	Instagram	4200
ふぇいすぶっく	Facebook	4200
めた	Meta	4800
らいん	LINE	4500
てぃっくとっく	TikTok	4200
ねっとふりっくす	Netflix	4200
すぽてぃふぁい	Spotify	4200
でぃすこーど	Discord	4200
すらっく	Slack	4500
ぎっとはぶ	GitHub	4200
ぎっとらぶ	GitLab	4500
ぎっと	git	3200
ぎっと	Git	3600
ぎっとりべーす	git rebase	3000
ぎっとりばーす	git rebase	4200
りべーす	rebase	3600
えぬぴーえむ	npm	3200
えぬぴーえむいんすとーる	npm install	3000
えぬぴーえむいんすとーるりあくと	npm install React	2800
ぴーえぬぴーえむ	pnpm	4000
あんどろいど	Android	4000
あいふぉーん	iPhone	4000
あいぱっど	iPad	4200
うぃんどうず	Windows	4000
りなっくす	Linux	4200
まっく	Mac	4500
まっくぶっく	MacBook	4200
くろーむ	Chrome	4200
さふぁり	Safari	4500
ふぁいあふぉっくす	Firefox	4200
えっじ	Edge	4800
ずーむ	Zoom	4500
てぃーむず	Teams	4500
どろっぷぼっくす	Dropbox	4500
のーしょん	Notion	4500
ふぃぐま	Figma	4500
きゃんば	Canva	4500
しょぴふぁい	Shopify	4500
ぺいぱる	PayPal	4500
すとらいぷ	Stripe	4500
#
# === Programming Languages & Frameworks ===
ぱいそん	Python	4200
じゃばすくりぷと	JavaScript	4200
たいぷすくりぷと	TypeScript	4200
ことりん	Kotlin	4200
こーでっくす	Codex	4200
しぇりー	Shelly	4500
えむしーぴー	MCP	4500
えーでぃーびー	ADB	4500
ろぐきゃっと	logcat	4500
すういふと	Swift	4500
じゃば	Java	4500
しーしゃーぷ	C#	4800
しーぷらぷら	C++	4800
らすと	Rust	4500
